Sistem Informasi Penjualan Perhiasan Besi Putih Berbasis Website Pada Toko Elang Besi Putih;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Sistem Informasi Penjualan Roti Pada Home Industri Pitalo Yogyakarta;Drs. Wahyu Pujiyono, M. Kom.;Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T., M.Cs.
SIA STAIN Padang Berbasis SMS Gateway;Drs. Tedy Setiadi, M.T.;Arif Rachman, S.Si., M.T.;Ali Tarmuji, S.T., M.Cs.
SIG daerah Rawan Kecelakaan di Kota Yogyakarta Berbasis Web;Nur Rochmah DPA, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
SIG Fasilitas Pendidikan Berbasis Web Kota Ternate;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.;Ir. Ardi Pujiyanta, M.T.
SIG Kampung Wisata Kota Yogyakarta Berbasis Web dengan memanfaatkan google map;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.
SIG Lokasi Pusat Oleh - Oleh dan Industri Kreatif di Yogyakarta Berbasis Web;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.;Muh. Aziz, M.Cs.
SIG Manajmen Pemetaan Lahan  Pertanian.;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
SIG Obyek Wisata Alam Kabupaten Lombok Timur;Sri Winiarti, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
SIG Obyek Wisata Kabupaten Kulon Progo Berbasis Web.;Drs. Wahyu Pujiyono, M. Kom.;Ali Tarmuji, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.
SIG Pemetaan Daerah Rawan Tanah Longsor Mitigasi dan Penanganan Bencana di Kabupaten Banjarnegara;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.;Ali Tarmuji, S.T., M.Cs.
SIG Pemetaan Potensi Pemberdayaan Penghijauan Wilayah Kota Yogyakarta Berbasis Website;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
SIG Penyebaran Virus Flu Burung di kabupaten Bantul Berbasis Web;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.
SIG Sekolah Menengah Atas/Kejuruan Sederajat di Kota Yogyakarta Berbasis Web;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
SIG Taman Bacaan Masyarakat dan Koleksi Buku Kabupaten Sleman Berbasis Web;Nur Rochmah DPA, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
SIG untuk Memetakan dan Menentukan Lokasi Puskesmas baru di Kab. Sleman;Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T., M.Cs.;Sri Handayaningsih, S.T., M.T.
SIG Wisata Kuliner Kota Yogyakarta Berbasis Web.;Murinto, S.Si., M.Kom.;Ir. Ardi Pujiyanta, M.T;Dewi Soyusiawaty, S.T., M.T.
SIM dan Monitoring  Peternakan Rojokoyo di Kabupaten Bantul;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Rusydi Umar, S.T., M.T., Ph.D.
SIM Pelaporan Sumber Daya Pondok Pesantren Kota Yogyakarta Berbasis Web.;Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Sri Handayaningsih, S.T., M.T.
Simulasi Pembelajaran Proses Enkripsi dan Deskripsi Algoritma CBS, Vigenere Chiper, Block Transposisi dan CBC Modifikasi dalam Pengamanan File Teks dan Data Teks;Nur Rochmah DPA, S.T., M.Kom.;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.
Simulasi Penerapan OWASP (The Open Web Application Project) Untuk Pembelajaran Keamanan Web (Studi Kasus : CMS Wordpress);Dr. Imam Riyadi, M.Kom.;Eko Aribowo, S.T., M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.
Simulasi Proses Enkripsi dan Deskripsi Algoritma Rijndael untuk Mendukung Proses Pembelajaran Kriptografi Berbasis Web.;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.;Ir. Ardi Pujiyanta, M.T.
Simulasi Teknik Komposisi  Fotografi (Rule of Third) Berbasis Smartphone Tablet;Drs. Wahyu Pujiyono, M. Kom.;Murinto, S.Si., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Sistem  Penerimaan Mahasiswa Baru Studi Kasus di SMK N I Pringgabaya;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Administrasi Keuangan Pompes Dharun Nahdhoh Tawlib Bangkinan Riau;Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T., M.Cs.;Ir. Ardi Pujiyanta, M.T.
Sistem Broadcast Proses Belajar Mengajar dengan Sincronus dan Asincronus;Drs. Wahyu Pujiyono, M. Kom.;Eko Aribowo, S.T., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Sistem Deteksi Pada Kain Songket Biru (NTB) Berbasis Mobile Application Menggunakan Metode libpuzzle;Fiftin Novianto, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Diagnosa Tumbuh Kembang Anak dengan Representasi Pengetahuan jaringan Semantic.;Sri Winiarti, S.T., M.Cs.;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.
Sistem E-Marketplace Travel Agent Untuk Mempermudah Pencairan Paket Wisata;Ardiansyah, S.T., M.Cs.;Rusydi Umar, S.T., M.T., Ph.D.;Herman Yuliansyah, S.T., M.Eng.
Sistem Identifikasi Berbasis Kasus Untuk Mendiagnosa Penyakit Ayam ;Sri Winiarti, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Ardiansyah, S.T., M.Cs.
Sistem Identifikasi Citra {ada Jenis Rosella Menggunakan Metode Product dan Metode Cosine Similarity;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.;Ardiansyah, S.T., M.Cs.
Sistem Identifikasi Citra Jenis Cabai (Capsicum Annum L) Menggunakan Metode Klasifikasi City Block Distance ;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.
Sistem Identifikasi Citra Jenis Kunyit (Curcuma Domestica Val.) Menggunakan Metode Klasifikasi Minkowski Distance Family;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.
Sistem Identifikasi Citra Rimpang Pada Tanaman Zingiberaieae (Temu-temuan) Menggunakan Metode Fungsi Jarak One Minus Correlation Coefficient;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.;Drs. Tedy Setiadi, M.T.
Sistem Identifikasi CitraJenis Kayu Solid Berdasarkan Tekstur Menggunakan Gray Level Co-Occurrence Matrix (GLCM) dengan Klasifikasi Jarak Enclidean;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.
Sistem Identivikasi Citra Pada Jahe (Zingiber Officinale) Menggunakan Metode Jarak (Zekanowski);Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.;Drs. Tedy Setiadi, M.T.
Sistem Indentifikasi Citra Jenis Tomat (Lycopersium Esculentum Mill) Berdasarkan Bentuk Menggunakan Metode Klasifikasi Squared Family;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.
Sistem Informasi Administrasi Posyandu Desa Sidoagung Berbasis Web;Taufiq Ismail, S.T., M.Cs.;Rusydi Umar, S.T., M.T., Ph.D.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Administrasi Servis dan Sparepart PT. Borobudur Oto Mobil;Ir. Ardi Pujiyanta, M.T.;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
Sistem Informasi Akademik Berbasis Web Menggunakan PHP dan MySQL di SD Montessori Kec. Ngaglik Sleman;Rusydi Umar, S.T., M.T., Ph.D.;Fiftin Noviyanto, S.T., M.Cs.;Muh. Aziz, M.Cs.
Sistem Informasi Akademik Universitas SAMAWA (UNSA);Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Arif Rachman, S.Si., M.T.
Sistem Informasi Akuntansi BMT Berbasis Web (Studi Kasus BMT Azzam);Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.
Sistem Informasi Apotek Pendistribusian Obat Berbasis Web;Rusydi Umar, S.T., M.T., Ph.D.;Murinto, S.Si., M.Kom.;Andri Pranolo, S.T., M.Cs.
Sistem Informasi dan Sistem Rekomendasi Penjualan Online dengan Metode Collaborative pada Toko Jingga Fashion;Rusydi Umar, S.T., M.T., Ph.D.;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.
Sistem Informasi Dana Taungan Kelompok Berbasis Online;Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Informasi Evaluasi Distribusi Nilai Akademik Berbasis Web (studi kasus Fak. Teknologi Industri, UAD);Murinto, S.Si., M.Kom.;Eko Aribowo, S.T., M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Informasi Event Kota Yogyakarta Berbasis PHP dan Google Maps API;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Geografi objek wisata di kabupaten lombok barat berbasis web;Rusydi Umar, S.T., M.T., Ph.D.;Muhammad Aziz, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.
Sistem Informasi Geografi Pemetaan Lokasi Pangkalan LPG di Kota Yogyakarta Berbasis Web (Studi Kasus: PT. Sari Mulya Ptra Bakti);Ali Tarmuji, S.T., M.Cs.;Taufiq Ismail, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Sistem Informasi Geografi Pemetaan Perkebunan Kelapa Sawit, Karet dan Pendistribusian di Pekanbaru;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Geografis (SIG) Lapangan Futsal DI Yogyakarta Menggunakan Algoritma Dijkstra Berbasis Web Dengan Google Maps Apl;Ir. Ardi Pujiyanta, M.T.;Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.
Sistem Informasi Geografis (SIG) Pariwisata Kotagede Berbasis Web;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Geografis AHASS Dealer Ahass dan Monitoring Pelanggan di wilayah Yogyakarta dengan Google Map API;Drs. Tedy Setiadi, M.T.;Rusydi Umar, S.T., M.T., Ph.D.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Geografis Berita Kejadian di Sekitar Masyarakat dengan Metode k-Mean Clustering Berbasis Android;Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.;LIsna Zahrotun, S.T., M.Cs.
Sistem Informasi Geografis Fasilitas Kesehatan Kabupaten Temangging Berbasis Web;Rusydi Umar, S.T., M.T., Ph.D.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Geografis Monitoring Posdaya Berbasis Geogle Map Api;Drs. Tedy Setiadi, M.T.;Rusydi Umar, S.T., M.T., Ph.D.;Fiftin Noviyanto, S.T., M.Cs.
Sistem Informasi Geografis Monitoring Sekolah Dasar Muhammadiyah Bantul Berbasis Web;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.;Arfiani Nur Khusna, S.T., M.Kom.
Sistem Informasi Geografis Objek Wisata Kab. Sleman Berbasis Web;Rusydi Umar, S.T., M.T., Ph.D.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Geografis Pemantauan Penyebaran Gizi Buruk Pada Balita Menggunakan Metode Antropometri;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Sistem Informasi Geografis Pemetaan Potensi Kampung Wisata di Wlayah Kota Yogyakarta Berbasis Web.;Nur Rochmah DPA, S.T., M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.;Drs. Tedy Setiadi, M.T.
Sistem Informasi Geografis Pemetaan Potensi Kerajinan Batik di Kota Yogyakarta Berbasis Web;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Geografis Pencarian Asrama Mahasiswa Daerah di kota Yogyakarta Berbasis Android;Kartika Firdaus, S.T., M.T.;Ardiansyah, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Sistem Informasi Geografis Perindustrian Kota Balikpapan Berbasis Web;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Geografis Peringatan Dini Penanggulangan Penyebaran Hama Wereng Coklat Berbasis Web;Rusydi Umar, S.T., M.T., Ph.D.;Drs. Tedy Setiadi, M.T.;Arfiani Nur Khusna, S.T., M.Kom.
Sistem Informasi Geografis Prioritas Ketersediaan Tanah (Studi Kasus di Kantor BPN Kab. Katingan Kalimantan Tengah);Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T., M.Cs.
Sistem Informasi Geografis Sarana Kesehatan Berbasis Web (Studi Kasus di Dinas Kesehatan Kabupaten Bantul);Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.
Sistem Informasi Geografis Sekolah Menengah Atas /Kejuruan Berbasis Web di Kabupaten Kebumen;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Geografis Sentra Industri Kerajinan di DIY Berbasis Web;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Geografis Tata Letak Penyebaran Objek Wisata Di Kabupaten Bantul Yogyakarta;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.;Arfiani Nur Khusna, S.T., M.Kom.
Sistem Informasi Geografis Tata Letak Penyebaran Sekolah Menengah Pertama/Sederajat Di Kota Yogyakarta Berbasis Web;Drs. Tedy Setiadi, M.T.;Arfiani Nur Khusna, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Geografis Untuk Memonitoring Pedagang Kaki Lima Di Kabupaten Sambas Berbasis Web;Drs. Tedy Setiadi, M.T.;Lisna Zahrotun, S.T., M.Cs.;Supriyanto, S.T., M.T.
Sistem Informasi Geografis Untuk Mendukung Perencanaan Pelaksanaan Program Imunisasi;Sri Winiarti, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Hasil Survei Lokasi KKN di LPM UAD Berbasis Web;Drs. Tedy Setiadi, M.T.;Rusydi Umar, S.T., M.T., Ph.D.;Herman Yuliansyah, S.T., M.Eng.
Sistem Informasi Hotel di Yogyakarta Berbasis Web Dengan Dukungan Posisi Geografis;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Jasa Pelayanan Keuangan Keuangan Berbasis Web Service (Studi Kasus RSUD Wates);Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Eko Aribowo, S.T., M.Kom.
Sistem Informasi Kepegawaian Pamela Swalayan;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.;Arfiani Nur Khusna, S.T., M.Kom.
"sistem informasi keuangan berbasis web dan sms gateway studi kasus; kb-tk islam ratnaningsih";Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.;Herman Yuliansyah, S.T., M.Eng.
Sistem Informasi Keuangan Untuk Pembayaran Uang Pendidikan Dengan Metode Prototype;Taufiq Ismail, S.T., M.Cs.;Muhammad Aziz, S.T., M.Cs.;Mushlihuddin, S.T., M.T.
Sistem Informasi Laporan Keuangan Zakat Infaq Dan Shodaqoh Di Jejaring BMT Muhammadiyah Berbasis Web;Rusydi Umar, S.T., M.T., Ph.D.;Arfiani Nur Khusna, S.T., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Sistem Informasi Layanan Sewa Lapangan Futsal Berbasis Web;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
Sistem Informasi Management Data Customer Di New Hanggar Billiar Berbasis Web Dan SMS Gateway;Eko Aribowo, S.T., M.Kom.;Taufiq Ismail, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Sistem Informasi Manajemen Jama'ah Umroh Berbasis SMS Gateway;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Sistem Informasi Manajemen Pelaporan Sentra Industri Kecil dan Menengah (IKM) Sandang dan Kulit Kota Yogyakarta Berbasis Web.;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Manajemen Pelaporan UMKM Produksi Kota Yogyakarta Berbasis Web;Eko Aribowo, S.T., M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.;Fiftin Noviyanto, S.T., M.Cs.
Sistem Informasi Manajemen Produksi dan Penjualan Perusahaan Keramik (Study Kasus Keramik Mustika Banjarnegara);Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Drs. Tedy Setiadi, M.T.
Sistem Informasi Menghitung Kebutuhan Nutrisi (studi Kasus Masyarakat Umum);Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ir. Ardi Pujiyanta, M.T.
Sistem Informasi Monitoring dan Evaluasi Tugas Akhir Mahasiswa Teknik Industri UAD dengan Metode MVC;Lisna Zahrotun, S.T., M.Cs.;Dewi Pramudi Ismi, S.T., M.CompSc;Ika Arfiani, S.T., M.Cs.
Sistem Informasi Monitoring KKN Reguler Sekolah di LPM UAD Berbasis Website;Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.;Nur Rochmah DPA, S.T., M.Kom.
Sistem Informasi Monitoring Penjualan Bahan Bangunan Berbasis KPI (SK Toko HB Putra Di Indramayu);Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Sistem Informasi Notaris Berbasis SMS Gateway (Studi Kasus : Kantor Wilayah Kementrian Hukum dan Hak Asasi Manusia Daerah Istimewa Yogyakarta);Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.;Herman Yuliansyah, S.T., M.Eng.
Sistem Informasi Notaris Berbasis WEB Pada Kantor Kementrian Hukum dan HAM DIY;Eko Aribowo, S.T., M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Pelabuhan di Pulau Jawa Berbasis Web;Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.;Murinto, S.Si., M.Kom.
Sistem Informasi Pemesanan Kue Online Pada U.D Mayabrownies Berbasis Web.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.
Sistem Informasi Pemesanan Perumahan Berbasis Teknologi WEB Dan SMS GATEWAY (Studi Kasus PT. Total Prima Mandiri);Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.;Taufiq Ismail, S.T., M.Cs.
Sistem Informasi Peminjaman Aset Untuk BIMAWA Menggunakan Framework Codeigneter Dengan Metode Analytical Hierarchy Process DI Biro Finansial Dan Aset (BIFAS) Universitas Ahmad Dahlan Yogyakarta;Arfiani Nur Khusna, S.T., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Sistem Informasi Pendataan atau Perbaikan Jalan dan Jembatan Berbasis SIG di Dinas Pekerjaan Umum Kab. Purworejo;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Pengelolaan dan Inventori ATK di BIFAS UAD;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Sistem Informasi Pengelolaan Pengabdian Masyarakat Dosen UAD Berbasis Web (Studi Kasus LPM UAD);Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Arif Rachman, S.Si., M.T.
Sistem Informasi Penilaian di SMA N 3 Bantul;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.;Sri Handayaningsih, S.T., M.T.
Sistem Informasi Penjualan Motor Berbasis Web Pada Showroom Motor Jaya Asli;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom;Arfiani Nur Khusna, S.T., M.Kom.
Sistem Informasi Perangkat Akreditasi SMABerbasis Web (Studi Kasus di SMA Muhammadiyah Mlati Sleman);Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Sistem Informasi Perbandingan Harga Penjualan Hnadphone Bantul Berbasis Web Service;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Persediaan Barang CV. Gradasi Indonesia Kotagede Yogyakarta;Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.;Ali Tarmuji, S.T., M.Cs.
Sistem Informasi Persediaan Properti Berbasis Web Di Daerah Istimewa Yogyakarta;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.
Sistem Informasi Rekam Medis Rumah Sakit PKU Muhammadiyah Yogyakarta Berbasis Web.;Drs. Wahyu Pujiyono, M. Kom.;Sri Winiarti, S.T., M.Cs.;Murinto, S.Si., M.Kom.
Sistem Informasi Rental Mobil Berbasis Web dan SMS Gateway untuk Lucky Rent Jogja;Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.;Arfiani Nur Khusna, S.T., M.Kom.
Sistem Informasi Tanaman Herbal Dan Cara Pengolahannya Untuk Mendiagnosa Penyakit Umum Berbasis Native Mobile;Fiftin Noviyanto, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Rusydi Umar, S.T., M.T., Ph.D.
Sistem Informasi Ujian Mandiri Online Berbasis Web;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.
Sistem Job Maching Portofolio Pencari Kerja Berbasis SMS Alert;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Taufiq Ismail, S.T., M.Cs.
Sistem Konsultasi Diagnosa Kerusakan dan modifikasi Sepeda Motor Matic;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Konsultasi Keuangan dalam Menentukan Kredit atau Pinjaman Dengan Menggunakan Metode KNN (K-Nearest Meighbor);Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.
Sistem Laboratorium SDIT Lukman Al Hakim Yogyakarta;Drs. Wahyu Pujiyono, M. Kom.;Sri Handayaningsih, S.T., M.T.;Ali Tarmuji, S.T., M.Cs.
Sistem Layanan Berbasis Lokasi untuk Mobile Marketing Produk Usha Mikro Kecil dan Menengah (UMKM) dengan Pemanfaatan Konsep Inteligent Resource Monitor (IRM);Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Sistem Layanan Informasi Kependudukan Berbasis Web dan SMS di Dinas Kependudukan dan Pencatatan Sipil Kota Tanjung Pinang;Ir. Ardi Pujiyanta, M.T.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Sistem Manajemen Penyewaan Kamar Losmen Berbasis Web;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Sistem Menentukan Jenis Tanaman Untuk Reboisasi Pada Dinas Kehutanan Dan Perkebunan Kabupaten Kebumen Bebasis Web ;Sri Winiarti, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Sistem Monitoring Bimbingan dan Konseling Siswa;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Sistem Notifikasi Dalam Penentuan Obat Pasien Berbasis Aturan Sebagai Media Belajar Mahasiswa Farmasi Klinik;Sri Winiarti, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Drs. Wahyu Pujiono, M.Kom.
Sistem Pakar Berbasis Fuzzy Logic Dalam Mendiagnosa Penyakit Saluran Reproduksi Manusia;Sri Winiarti, S.T., M.Cs.;Dr. Abdul Fadlil, M.T.;Ir. Ardi Pujianta, M.T.
Sistem Pakar Berbasis Web untuk Mendiagnosa Penyakit pada sapi Menggunakan Theorema Bayes;Ir. Ardi Pujiyanta, M.T.;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.
Sistem Pakar Berbasis Web Untuk Mengidentifikasi Penyakit Yang Ditularkan Oleh Hewan Peliharaan ke Manusia;Sri Winiarti, S.T., M.Cs.;Dr. Abdul Fadlil, M.T.;Ir. Ardi Pujiyanta, M.T.
Sistem Pakar Dalam Pendeteksian Gangguan Kejiwaan Dengan Metode Penalaran Berbasis Kasus;Sri Winiarti, S.T., M.Cs.;Ir. Ardi Pujiyanta, M.T;Murinto, S.Si., M.Kom. 
Sistem Pakar Diagnosa Penyakit dan Rekomendasi Penanganan Gejala Penyakit Pada Manusia Menggunakan Metode Inference Decission Tree C4.5;Dewi Pramudi Ismi, S.T., M.CompSc;Sri Winiarti, S.T., M.Cs.;Adhi Prahara, S.Si., M.Cs.
Sistem Pakar Diagnosa Penyakit Pernapasan pada Manusia Berbasis Web dengan Metode Tsukamoto;Ir. Ardi Pujiyanta, M.T.;Murinto, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Pakar Diagnosis Penyakit Kelinci Dengan Menggunakan Metode Inference Dempster Shafer;Andri Pranolo, S.T., M.Cs.;Sri Winiarti, S.T., M.Cs.;LIsna Zahrotun, S.T., M.Cs.
Sistem Pakar Mendiagnosa Hama dan Penyakit Tanaman Bawang Merah Menggunakan Certainty Factor;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.;Ardi Pujiyanta, M.T
Sistem Pakar Mendiagnosa Kelainan Pertumbuhan Pada Bayi Semasa dalam Kandungan;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Ir. Ardi Pujiyanta, M.T.
